X,Y,field_1,Latitude,Longitude,layer,path
-3.3921023248615,5.372573322574,94,5.372573322574000,-3.392102324861500,106,D:\DATA_\Points_D5\106.shp|layername=106
-3.3921023248615,5.372666359934,74,5.372666359934002,-3.392102324861500,106,D:\DATA_\Points_D5\106.shp|layername=106
-3.3918848929825,5.372774426406,17,5.372774426406000,-3.391884892982500,107,D:\DATA_\Points_D5\107.shp|layername=107
-3.3918873921995,5.372701785698,28,5.372701785698000,-3.391887392199500,107,D:\DATA_\Points_D5\107.shp|layername=107
-3.3917510063575,5.372530024418,34,5.372530024418000,-3.391751006357500,107,D:\DATA_\Points_D5\107.shp|layername=107
-3.3921737310615,5.372696060322,96,5.372696060322000,-3.392173731061500,106,D:\DATA_\Points_D5\106.shp|layername=106
-3.3918895343855,5.372529666582,35,5.372529666582000,-3.391889534385500,107,D:\DATA_\Points_D5\107.shp|layername=107
-3.3918167000615,5.372819155906,38,5.372819155906000,-3.391816700061500,107,D:\DATA_\Points_D5\107.shp|layername=107
-3.3920284194445,5.372699996518,43,5.372699996518000,-3.392028419444500,107,D:\DATA_\Points_D5\107.shp|layername=107
-3.3920316327235,5.37252895091,46,5.372528950910000,-3.392031632723500,107,D:\DATA_\Points_D5\107.shp|layername=107
-3.3917445797995,5.37277764693,49,5.372777646930000,-3.391744579799500,107,D:\DATA_\Points_D5\107.shp|layername=107
-3.3920309186615,5.372781583126,51,5.372781583126000,-3.392030918661500,107,D:\DATA_\Points_D5\107.shp|layername=107
-3.3920355600645,5.372614115878,56,5.372614115878000,-3.392035560064500,107,D:\DATA_\Points_D5\107.shp|layername=107
-3.3919555851205,5.372733633102,59,5.372733633102000,-3.391955585120500,107,D:\DATA_\Points_D5\107.shp|layername=107
-3.3917481501095,5.37260946401,64,5.372609464010000,-3.391748150109500,107,D:\DATA_\Points_D5\107.shp|layername=107
-3.3918199133405,5.372571175558,67,5.372571175558000,-3.391819913340500,107,D:\DATA_\Points_D5\107.shp|layername=107
-3.3919630827715,5.372645963282,74,5.372645963282000,-3.391963082771500,107,D:\DATA_\Points_D5\107.shp|layername=107
-3.3919573702755,5.372571533394,81,5.372571533394000,-3.391957370275500,107,D:\DATA_\Points_D5\107.shp|layername=107
-3.3917460079235,5.37269534465,97,5.372695344650000,-3.391746007923500,107,D:\DATA_\Points_D5\107.shp|layername=107
-3.3919537999655,5.372823449938,84,5.372823449938000,-3.391953799965500,107,D:\DATA_\Points_D5\107.shp|layername=107
-3.3918199133405,5.372735780118,86,5.372735780118000,-3.391819913340500,107,D:\DATA_\Points_D5\107.shp|layername=107
